Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
167,Jordy Alcivar,ECU,MF,0,0,1,0,1,0,0,0.04,0.0,0
167,Edgar Yoel Barcenas,PAN,MF,0,0,2,0,0,2,0,0.05,0.0,3
167,Juan Portilla,COL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Fabinho,BRA,MF,0,0,1,0,1,0,1,0.02,0.0,0
167,Miguel Almiron,PAR,MF,0,0,4,0,1,3,0,0.11,0.0,2
167,Fernando Muslera,URU,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Sergio Rochet,URU,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Danilo Santos,BRA,MF,0,1,2,0,2,0,1,0.19,0.0,0
167,Jhon Arias,COL,MF,0,4,9,11,7,2,0,0.94,1.07,4
167,Denil Castillo,ECU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Juan Manuel Sanabria,URU,MF,0,0,3,0,2,1,0,0.09,0.0,0
167,Ricardo Pepi,USA,FW,0,0,5,0,5,0,2,0.38,0.0,0
167,Gabriel Avalos,PAR,FW,0,0,1,0,1,0,0,0.05,0.0,0
167,Cristian Roldan,USA,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Giorgian De Arrascaeta,URU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Nahuel Molina,ARG,DF,0,0,1,0,0,1,0,0.02,0.0,0
167,Fidel Escobar,PAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ramon Sosa,PAR,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Tyler Adams,USA,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Gaston Olveira,PAR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Bremer,BRA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Gonzalo Valle,ECU,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Rodrigo Aguirre,URU,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Raphinha,BRA,FW,0,2,3,0,1,2,0,0.34,0.0,7
167,Felix Torres,ECU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Cesar Huerta,MEX,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Alex Sandro,BRA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Alisson,BRA,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Carlos Acevedo,MEX,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Rodrigo Bentancur,URU,MF,0,0,4,0,3,1,3,0.32,0.0,0
167,Weston Mckennie,USA,MF,0,1,5,0,4,1,2,0.6,0.0,0
167,Chris Richards,USA,DF,0,0,1,0,1,0,1,0.06,0.0,0
167,Nicolas Otamendi,ARG,DF,0,0,1,0,1,0,1,0.07,0.0,0
167,Gonzalo Plata,ECU,FW,0,5,8,13,4,4,1,1.16,0.86,4
167,Alvaro Fidalgo,MEX,MF,0,2,3,33,2,1,0,0.35,2.85,0
167,Roger Ibanez,BRA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Santiago Gimenez,MEX,FW,0,1,2,0,2,0,0,0.34,0.0,0
167,Alan Minda,ECU,MF,0,0,2,0,1,1,0,0.44,0.0,0
167,Cristian Martinez,PAN,MF,0,0,1,0,1,0,0,0.24,0.0,4
167,Raul Jimenez,MEX,FW,0,7,18,17,13,5,7,3.0,1.0,0
167,Agustin Canobbio,URU,MF,0,1,4,25,4,0,1,0.75,1.33,0
167,Andres Cubas,PAR,MF,0,0,1,0,0,1,0,0.02,0.0,0
167,Joe Scally,USA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Angelo Preciado,ECU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Neymar Jr,BRA,FW,0,2,3,33,3,0,0,0.82,1.22,5
167,Eric Davis,PAN,DF,0,0,1,0,0,1,0,0.0,0.0,2
167,Mauricio,PAR,MF,0,3,4,25,2,2,0,0.32,3.12,5
167,Jose Cordoba,PAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Alex Zendejas,USA,FW,0,0,1,0,1,0,0,0.0,0.0,0
167,Raul Rangel,MEX,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Giuliano Simeone,ARG,FW,0,0,1,0,1,0,0,0.05,0.0,0
167,Mateo Chavez,MEX,DF,0,1,1,100,1,0,0,0.49,2.04,0
167,Piero Hincapie,ECU,DF,0,0,3,0,3,0,3,0.4,0.0,1
167,Orlando Gill,PAR,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Carlos Harvey,PAN,DF,0,0,5,0,4,1,2,0.29,0.0,0
167,Josue Casimir,HAI,FW,0,0,1,0,0,1,0,0.01,0.0,0
167,Moises Ramirez,ECU,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,John Yeboah,ECU,FW,0,3,8,0,4,4,0,0.72,0.0,3
167,Daniel Munoz,COL,DF,0,2,3,67,3,0,0,0.64,3.11,0
167,Isidro Pitta,PAR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Tomas Rodriguez,PAN,FW,0,1,1,0,0,1,0,0.06,0.0,0
167,Guillermo Varela,URU,DF,0,0,2,0,0,2,0,0.01,0.0,0
167,Cecilio Waterman,PAN,FW,0,1,2,0,2,0,0,0.05,0.0,0
167,Giovanni Reyna,USA,MF,0,1,2,50,2,0,0,0.22,4.61,0
167,Obed Vargas,MEX,MF,0,1,1,0,0,1,0,0.02,0.0,0
167,Santiago Mele,URU,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Igor Thiago,BRA,FW,0,1,2,0,2,0,1,0.4,0.0,0
167,Jaminton Campaz,COL,FW,0,3,6,17,3,3,1,0.64,1.56,0
167,Thiago Almada,ARG,FW,0,2,5,0,2,3,0,0.25,0.0,0
167,Alexis Vega,MEX,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Valentin Barco,ARG,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Jorge Gutierrez,PAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Camilo Vargas,COL,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Cesar Montes,MEX,DF,0,1,1,0,1,0,1,0.06,0.0,0
167,Joaquin Piquerez,URU,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Giovani Lo Celso,ARG,MF,0,1,1,100,0,1,0,0.15,6.61,1
167,Gustavo Velazquez,PAR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Andres Andrade,PAN,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Facundo Pellistri,URU,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Gilberto Mora,MEX,MF,0,0,5,0,3,2,0,0.13,0.0,2
167,Ederson Silva,BRA,MF,0,0,2,0,1,1,0,0.34,0.0,0
167,Mark Mckenzie,USA,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Guillermo Ochoa,MEX,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Gustavo Caballero,PAR,MF,0,1,1,0,1,0,1,0.07,0.0,0
167,Orlando Mosquera,PAN,GK,0,0,0,0,0,0,0,0.0,0.0,0
